Age,CustFor,Education,Marital_Status,Child,Income,Recency,Wine,Fruit,Meat,Fish,Sweet,Gold,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp1,AcceptedCmp2,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,Complain,Response,TotMnt,TotPurch,TotCmp,Cluster
65,1035,Master,Alone,2,49389.0,55,40,0,19,2,1,3,1,2,0,3,7,0,0,0,0,0,0,0,65,6,0,4
46,911,PhD,Partner,1,67353.0,37,702,17,151,0,8,35,5,5,6,12,2,0,0,0,0,0,0,0,913,28,0,3
40,1031,Master,Partner,1,23718.0,76,6,3,14,15,7,36,3,3,1,2,7,0,0,0,0,0,0,0,81,9,0,1
43,869,Graduate,Alone,1,42429.0,99,55,0,6,2,0,4,2,1,1,3,5,0,0,0,0,0,0,0,67,7,0,4
73,1244,PhD,Alone,0,48948.0,53,437,8,206,160,49,42,2,7,10,5,6,0,0,1,0,0,0,1,902,24,1,3
36,1157,Graduate,Partner,1,80011.0,3,421,76,536,82,178,102,2,8,6,5,4,0,0,0,0,0,0,0,1395,21,0,2
31,1205,Master,Partner,1,20559.0,88,13,1,29,3,0,7,2,2,0,3,8,0,0,0,0,0,0,0,53,7,0,1
59,1283,Graduate,Partner,1,21994.0,4,9,0,6,3,1,3,1,0,0,3,5,0,0,0,0,0,0,0,22,4,0,1
57,967,PhD,Alone,0,51381.5,80,81,11,50,3,2,39,1,1,3,4,2,0,0,0,0,0,0,0,186,9,0,4
41,1001,Master,Partner,1,7500.0,19,3,1,10,3,2,12,3,2,0,3,5,0,0,0,0,0,0,0,31,8,0,1
40,732,Graduate,Alone,0,79941.0,72,123,164,266,227,30,174,1,2,4,9,1,0,0,0,0,0,0,0,984,16,0,2
20,1328,Master,Partner,0,7500.0,24,3,18,14,15,22,50,3,3,1,3,9,0,0,0,0,0,0,1,122,10,0,1
48,1132,Graduate,Partner,1,41728.0,92,13,6,15,3,5,13,1,2,0,2,10,0,0,0,0,0,0,0,55,5,0,1
65,910,Graduate,Alone,3,51381.5,96,48,5,48,6,10,7,3,2,1,4,6,0,0,0,0,0,0,0,124,10,0,4
62,1329,PhD,Partner,2,72550.0,39,826,50,317,50,38,38,9,5,2,12,8,0,0,0,0,0,0,0,1319,28,0,3
59,779,Graduate,Alone,1,65486.0,29,245,19,125,37,67,14,1,4,2,10,2,0,0,0,0,0,0,0,507,17,0,4
52,1418,Master,Partner,0,79143.0,2,650,37,780,27,167,32,1,6,9,13,3,0,0,0,0,0,0,0,1693,29,0,2
39,1274,Graduate,Alone,1,35790.0,54,12,6,20,30,1,3,2,2,0,3,7,0,0,0,0,0,0,0,72,7,0,1
39,753,Graduate,Alone,0,82582.0,54,510,120,550,156,40,241,1,4,9,7,1,1,0,1,0,0,0,1,1617,21,2,2
38,1113,Graduate,Partner,2,66373.0,57,328,9,124,12,24,109,7,4,2,10,3,0,0,0,0,0,0,0,606,23,0,3
61,1318,Master,Partner,0,82384.0,55,984,51,432,180,120,190,1,3,10,13,1,0,0,0,0,1,0,1,1957,27,1,2
50,1184,Graduate,Alone,0,70287.0,30,295,35,482,121,120,40,1,5,5,10,3,0,0,0,0,0,0,1,1093,21,0,2
28,793,Graduate,Alone,1,27938.0,31,13,0,8,2,1,5,1,1,0,4,3,0,0,0,0,0,0,0,29,6,0,1
34,1108,Graduate,Alone,1,51381.5,57,11,3,22,2,2,6,2,2,0,3,6,0,0,0,0,0,0,0,46,7,0,1
48,849,PhD,Partner,1,55954.0,63,447,0,28,0,0,43,3,8,2,6,7,0,0,0,0,0,0,0,518,19,0,4
34,1091,Master,Alone,0,75777.0,12,712,26,538,69,13,80,1,3,6,11,1,0,0,0,1,1,0,1,1438,21,2,2
41,1391,Graduate,Partner,2,66653.0,18,452,18,102,16,18,6,4,4,2,12,3,0,0,0,0,0,0,0,612,22,0,3
64,1227,Graduate,Alone,1,61823.0,26,523,7,134,37,14,169,4,8,2,10,7,0,0,0,0,0,0,0,884,24,0,3
65,1114,PhD,Alone,1,67680.0,8,546,0,48,0,6,6,1,7,3,8,5,0,0,0,0,0,0,0,606,19,0,3
68,936,Graduate,Partner,0,70666.0,29,398,40,367,119,122,30,1,7,4,4,4,0,0,0,0,0,0,0,1076,16,0,2
45,1135,Graduate,Partner,1,25721.0,75,1,3,6,3,6,15,1,1,1,2,7,0,0,0,0,0,0,1,34,5,0,1
49,780,Graduate,Partner,2,32474.0,0,10,0,1,0,0,0,1,1,0,2,7,0,0,0,0,0,0,0,11,4,0,4
37,833,Master,Alone,1,88194.0,19,688,14,309,201,24,38,1,11,10,10,5,1,0,1,0,0,0,1,1274,32,2,2
58,1006,Graduate,Partner,1,69096.0,4,247,49,159,7,82,109,1,5,2,10,4,0,0,0,0,0,0,0,653,18,0,3
46,1178,Graduate,Partner,3,74854.0,90,856,59,487,58,29,73,7,2,5,5,5,0,0,0,0,0,0,0,1562,19,0,3
62,1387,Master,Partner,0,66991.0,1,496,36,460,189,60,12,3,4,8,6,3,0,0,0,0,0,0,0,1253,21,0,2
43,1384,Master,Partner,1,51381.5,25,25,3,43,17,4,17,3,3,0,3,8,0,0,0,0,0,0,0,109,9,0,1
57,1200,Graduate,Partner,1,65031.0,29,258,107,291,84,37,86,4,10,3,13,7,0,0,0,0,0,0,0,863,30,0,3
41,1181,PhD,Partner,2,60631.0,88,565,6,65,0,6,19,5,9,2,8,7,0,0,0,1,0,0,0,661,24,1,4
64,791,Graduate,Partner,0,28332.0,58,14,10,13,4,15,9,1,2,1,4,2,0,0,0,0,0,0,0,65,8,0,4
39,1288,Graduate,Alone,1,40246.0,68,2,1,6,2,1,1,1,1,0,2,6,0,0,0,0,0,0,0,13,4,0,1
44,1402,Master,Partner,0,75251.0,34,721,111,925,97,18,18,1,7,6,5,5,0,0,0,0,0,0,1,1890,19,0,2
40,1356,Graduate,Alone,0,75825.0,40,1032,105,779,137,105,51,0,5,8,9,4,0,0,1,0,0,0,1,2209,22,1,2
40,1029,Master,Partner,0,26326.0,12,1,0,5,0,3,9,1,0,0,3,3,0,0,0,0,0,1,0,18,4,0,1
51,1274,Graduate,Partner,0,56046.0,9,577,0,64,0,0,51,2,10,1,8,8,0,0,1,0,0,0,1,692,21,1,3
31,1400,Graduate,Alone,1,29760.0,87,64,4,68,7,5,17,4,3,1,4,8,0,0,0,0,0,0,0,165,12,0,1
47,1102,Graduate,Partner,1,26304.0,5,4,1,5,2,0,4,1,1,0,2,7,0,0,0,0,0,0,0,16,4,0,1
43,1092,Master,Partner,1,23559.0,87,25,5,19,7,0,23,3,3,0,3,7,0,0,0,0,0,0,0,79,9,0,1
53,1145,Master,Partner,0,38620.0,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,0,318,11,0,3
29,855,Graduate,Alone,0,81361.0,18,163,23,424,27,65,76,1,3,10,13,1,0,0,0,0,0,0,0,778,27,0,2
56,1053,Graduate,Partner,2,29440.0,95,17,8,14,10,4,3,2,1,0,4,7,0,0,0,0,0,0,0,56,7,0,4
46,1079,Master,Partner,2,36138.0,48,130,0,16,0,0,5,5,3,1,4,7,0,0,0,1,0,0,0,151,13,1,4
59,763,Graduate,Alone,1,50388.0,3,292,6,37,0,3,34,4,6,1,6,7,1,0,0,1,0,0,1,372,17,2,4
43,779,Graduate,Partner,0,79593.0,70,350,60,568,110,133,145,1,5,6,7,2,0,0,0,0,1,0,0,1366,19,1,2
49,890,Graduate,Partner,1,54178.0,79,135,9,39,4,0,7,1,2,2,5,2,0,0,0,0,0,0,0,194,10,0,4
59,1318,PhD,Partner,3,51381.5,4,230,42,192,49,37,53,12,7,2,8,9,0,0,0,0,0,0,0,603,29,0,3
59,764,Graduate,Alone,2,51381.5,45,7,0,8,2,0,1,1,1,0,2,7,0,0,0,0,0,0,0,18,4,0,4
43,949,Master,Partner,0,51381.5,87,445,37,359,98,28,18,1,2,4,8,1,0,0,0,0,0,0,0,985,15,0,3
44,829,Master,Alone,1,42394.0,69,15,2,10,0,1,4,1,1,0,3,7,0,0,0,0,0,0,0,32,5,0,4
46,767,PhD,Partner,1,23626.0,84,27,2,14,0,0,0,3,3,1,3,5,0,0,0,0,0,0,0,43,10,0,4
33,769,Graduate,Partner,1,30096.0,30,5,3,11,12,5,9,1,2,0,3,6,0,0,0,0,0,0,0,45,6,0,1
56,1315,Graduate,Alone,1,47916.0,72,505,0,26,0,0,75,5,7,4,6,6,0,0,0,1,0,0,0,606,22,1,3
44,1175,Graduate,Alone,2,51813.0,37,51,2,7,0,1,2,2,2,0,3,7,0,0,0,0,0,0,0,63,7,0,4
65,941,Master,Partner,0,78497.0,44,207,26,447,75,0,223,1,5,7,12,2,1,0,0,0,0,0,0,978,25,1,3
33,1105,PhD,Partner,0,50150.0,32,135,46,92,65,61,11,2,5,2,7,5,0,0,0,0,0,0,0,410,16,0,1
56,1072,Master,Alone,1,47823.0,0,53,1,5,2,1,10,2,2,0,3,8,0,0,0,0,0,0,0,72,7,0,4
57,822,PhD,Alone,1,34554.0,43,41,1,6,2,0,5,2,2,0,3,6,0,0,0,0,0,0,0,55,7,0,4
37,1166,Graduate,Partner,1,85693.0,59,386,172,183,185,132,111,2,9,5,11,5,0,0,0,0,0,0,0,1169,27,0,2
71,1139,PhD,Partner,0,65846.0,68,562,81,276,80,40,81,1,6,3,6,4,0,0,0,0,0,0,0,1120,16,0,3
57,783,Graduate,Partner,0,87195.0,35,217,76,690,50,26,38,1,3,11,5,1,0,0,0,0,0,0,1,1097,20,0,2
37,932,Basic,Partner,1,24594.0,94,1,3,6,10,0,9,1,1,0,3,5,0,0,0,0,0,0,0,29,5,0,1
52,1009,Graduate,Partner,2,49096.0,15,144,1,32,2,1,7,4,4,1,4,7,0,0,0,0,0,0,0,187,13,0,4
47,1243,Graduate,Partner,2,52413.0,56,295,106,271,75,98,65,4,6,4,12,6,0,0,0,0,0,0,0,910,26,0,3
38,1288,Graduate,Alone,1,38557.0,17,76,3,31,4,4,27,2,3,1,3,7,0,0,0,0,0,0,0,145,9,0,1
56,1300,Master,Partner,0,89058.0,18,454,194,106,31,22,43,1,5,4,4,2,0,0,0,0,0,0,0,850,14,0,2
37,970,Graduate,Partner,1,77298.0,46,425,115,292,23,35,79,1,6,6,11,3,0,0,0,0,0,0,0,969,24,0,2
25,1327,PhD,Alone,0,68126.0,40,1332,17,311,23,51,86,1,7,4,5,9,0,0,0,1,0,0,1,1820,17,1,2
53,735,Master,Partner,1,57288.0,27,527,0,21,0,0,60,3,8,1,8,6,0,0,0,1,0,0,0,608,20,1,4
25,1274,Graduate,Alone,0,86037.0,95,490,44,125,29,20,22,1,6,7,11,3,0,0,0,1,1,0,1,730,25,2,3
36,1295,PhD,Partner,1,43974.0,19,378,0,101,0,0,72,5,6,4,6,7,0,0,0,0,0,0,0,551,21,0,1
54,1023,Graduate,Alone,2,50785.0,27,64,1,21,0,1,27,2,2,1,3,6,0,0,0,0,0,0,0,114,8,0,4
46,887,Graduate,Partner,0,90765.0,25,547,99,812,151,82,33,0,4,6,5,1,1,0,0,0,1,0,0,1724,15,2,2
38,1226,Master,Partner,1,36550.0,74,47,90,94,123,103,120,5,9,1,5,9,0,0,0,0,0,0,0,577,20,0,2
49,1084,Master,Partner,2,30753.0,85,12,5,25,0,9,30,2,1,1,3,5,0,0,0,0,0,0,0,81,7,0,4
47,958,Graduate,Partner,1,21918.0,37,1,6,7,11,5,3,2,2,0,3,6,0,0,0,0,0,0,0,33,7,0,4
63,1105,Master,Partner,1,56129.0,65,320,48,133,39,72,48,4,6,2,10,4,0,0,0,0,0,0,0,660,22,0,3
49,856,Master,Alone,1,32557.0,13,34,3,29,0,4,10,3,2,1,3,5,0,0,0,0,0,0,1,80,9,0,4
31,1029,Master,Partner,2,19510.0,63,9,0,7,3,4,7,2,1,0,3,7,0,0,0,0,0,0,0,30,6,0,1
40,1164,Graduate,Alone,1,30992.0,83,17,0,14,7,3,2,1,1,0,3,7,0,0,0,0,0,0,0,43,5,0,1
51,1227,Master,Partner,0,71488.0,87,162,33,124,40,28,172,2,3,4,7,1,0,0,0,0,0,0,0,559,16,0,3
32,1165,Graduate,Alone,0,79607.0,37,450,133,951,173,0,216,1,3,6,6,1,0,0,0,0,0,0,1,1923,16,0,2
63,752,Master,Partner,2,54348.0,51,70,0,16,0,0,4,2,2,0,4,6,0,0,0,0,0,0,0,90,8,0,4
55,1084,PhD,Partner,1,51381.5,23,352,0,27,10,0,15,3,6,1,7,6,0,0,0,0,0,0,0,404,17,0,4
60,781,PhD,Partner,2,77376.0,72,492,19,110,16,12,12,4,6,3,10,4,0,0,0,0,0,0,0,661,23,0,4
64,1003,Graduate,Partner,1,62998.0,10,120,58,73,65,89,58,5,5,4,5,5,0,0,0,0,0,0,0,463,19,0,3
58,1207,Master,Alone,2,61331.0,42,534,5,47,0,5,41,5,11,1,6,8,0,0,0,0,0,0,0,632,23,0,3
47,870,Graduate,Partner,0,73448.0,10,236,106,189,23,41,130,1,7,2,9,4,0,0,0,0,0,0,0,725,19,0,2
53,1053,Graduate,Partner,1,51381.5,96,231,65,196,38,71,124,1,6,5,7,4,0,0,0,0,0,0,0,725,19,0,3
52,1050,PhD,Partner,2,41551.0,51,220,0,33,3,0,23,5,5,1,5,8,0,0,0,0,0,0,0,279,16,0,4
49,1200,PhD,Partner,0,62981.0,21,796,14,590,38,44,0,1,4,5,13,3,0,0,0,1,0,0,0,1482,23,1,3
40,1421,Basic,Alone,1,9548.0,31,0,1,3,10,6,9,2,1,0,3,8,0,0,0,0,0,0,0,29,6,0,1
57,1088,PhD,Partner,3,33762.0,61,53,1,34,2,0,16,3,2,2,2,8,0,0,0,0,0,0,0,106,9,0,4
43,772,PhD,Alone,2,35860.0,37,15,0,8,4,2,20,2,1,1,2,5,0,0,1,0,0,0,1,49,6,1,4
51,1067,PhD,Alone,2,36921.0,74,17,1,12,3,1,4,2,2,0,3,7,0,0,0,0,0,0,0,38,7,0,4
24,1349,Master,Alone,0,92859.0,46,962,61,921,52,61,20,1,5,4,12,2,0,0,0,0,0,0,0,2077,22,0,2
40,958,Master,Partner,1,65104.0,4,738,0,232,13,20,50,2,3,5,7,7,0,0,0,0,0,0,1,1053,17,0,3
54,1167,Graduate,Partner,0,86111.0,73,399,28,756,36,40,126,1,5,7,10,2,0,0,0,0,0,0,0,1385,23,0,2
42,1036,PhD,Alone,1,68352.0,47,614,16,132,43,33,33,3,8,5,9,6,0,0,0,0,0,0,0,871,25,0,3
28,1198,Graduate,Partner,1,41883.0,13,32,34,41,73,16,116,3,4,2,3,7,0,0,0,0,0,0,0,312,12,0,1
40,1350,Graduate,Partner,2,59809.0,36,598,16,141,32,41,49,3,3,3,6,8,0,0,0,0,0,0,0,877,15,0,3
41,1340,Graduate,Partner,1,23957.0,47,2,1,18,20,11,16,1,2,0,3,6,0,0,0,0,0,0,1,68,6,0,1
35,1036,Graduate,Partner,1,38547.0,49,6,1,10,0,1,4,1,1,0,2,8,0,0,0,0,0,1,0,22,4,0,1
43,1407,Master,Partner,3,35688.0,94,73,3,90,12,1,32,7,4,1,4,8,0,0,0,0,0,0,0,211,16,0,1
50,739,Master,Partner,0,49605.0,65,42,16,29,12,20,8,1,2,1,4,3,0,0,0,0,0,0,0,127,8,0,4
63,797,Master,Partner,2,59354.0,59,295,21,78,39,13,13,1,4,4,7,3,0,0,0,0,0,0,0,459,16,0,4
47,845,Graduate,Partner,1,65747.0,96,346,17,48,23,13,13,4,8,1,6,6,0,0,0,1,0,0,0,460,19,1,4
44,1293,Master,Partner,1,46344.0,28,233,20,57,8,20,91,4,7,1,5,7,0,0,0,0,0,0,0,429,17,0,1
28,779,Graduate,Alone,1,34176.0,12,5,7,24,19,14,20,4,3,0,4,6,0,0,0,0,0,0,0,89,11,0,1
64,1359,PhD,Partner,1,61010.0,57,888,0,57,0,0,76,2,8,5,11,5,0,0,0,0,0,0,0,1021,26,0,3
67,1226,Graduate,Partner,0,69372.0,10,997,26,269,34,13,42,1,10,4,6,4,0,0,0,1,1,0,1,1381,21,2,3
58,1087,Graduate,Alone,1,49967.0,4,212,6,69,4,12,3,3,6,1,5,7,0,0,0,0,0,0,0,306,15,0,4
38,1021,Graduate,Alone,3,60199.0,49,8,1,7,2,0,0,1,0,0,3,4,0,0,0,0,0,0,0,18,4,0,4
39,986,Graduate,Partner,1,55375.0,3,42,11,57,10,28,14,1,1,1,6,2,0,0,0,0,0,0,0,162,9,0,1
61,1044,Graduate,Alone,0,80317.0,64,536,11,387,149,91,57,1,3,4,10,1,0,0,0,0,0,0,0,1231,18,0,2
58,1094,Master,Alone,3,30523.0,0,5,0,3,0,0,5,1,1,0,2,7,0,0,0,0,0,0,0,13,4,0,4
71,1332,PhD,Partner,0,70356.0,20,1349,16,249,43,16,33,2,10,6,9,6,0,0,0,0,0,0,0,1706,27,0,3
32,906,Graduate,Partner,1,23228.0,91,53,3,49,7,4,5,4,3,0,4,8,0,0,0,0,0,0,0,121,11,0,1
41,1155,PhD,Alone,0,74165.0,9,1001,12,240,16,12,12,1,5,4,10,2,0,0,0,0,0,0,0,1293,20,0,3
50,959,Graduate,Partner,3,43482.0,83,18,1,32,6,3,28,3,2,0,4,6,0,0,0,0,0,0,0,88,9,0,4
63,954,Graduate,Alone,0,62551.0,27,125,16,98,134,21,27,1,6,7,4,3,0,0,1,0,0,0,0,421,18,1,3
57,1036,Graduate,Alone,0,52332.0,63,212,5,33,7,0,2,1,3,2,6,4,0,0,0,1,0,0,0,259,12,1,4
28,970,Graduate,Alone,0,66951.0,46,277,162,305,173,76,124,1,3,4,7,1,0,0,0,0,0,0,0,1117,15,0,2
59,855,Graduate,Partner,2,26091.0,84,15,10,19,8,17,20,3,2,1,3,5,0,0,0,0,0,0,0,89,9,0,4
51,800,Graduate,Partner,2,33456.0,58,7,3,10,8,1,7,2,1,0,3,7,0,0,0,0,0,0,0,36,6,0,4
34,1082,Graduate,Partner,1,28718.0,78,12,4,6,11,8,16,2,2,0,3,8,0,0,0,0,0,0,0,57,7,0,1
46,800,Graduate,Partner,2,50447.0,4,85,7,24,2,3,27,1,3,1,3,6,0,0,0,0,0,0,0,148,8,0,4
57,881,PhD,Partner,2,53537.0,17,81,0,6,0,0,6,2,2,1,3,5,0,0,0,0,0,0,0,93,8,0,4
49,817,Graduate,Alone,1,52074.0,77,59,0,12,0,0,48,1,2,2,2,4,0,0,1,0,0,0,0,119,7,1,4
41,1386,PhD,Partner,1,80427.0,56,1149,71,449,69,71,26,1,11,8,8,5,0,0,0,0,0,0,0,1835,28,0,2
68,1291,PhD,Partner,0,83837.0,79,847,66,119,86,89,111,1,9,10,5,4,1,0,0,1,0,0,1,1318,25,2,2
46,768,PhD,Partner,2,38853.0,90,29,0,14,0,0,2,2,2,0,3,7,0,0,0,0,0,0,0,45,7,0,4
57,736,Graduate,Partner,3,38285.0,96,2,0,5,2,0,1,1,0,0,3,2,0,0,0,0,0,0,0,10,4,0,4
65,941,Master,Partner,0,78497.0,44,207,26,447,75,0,223,1,5,7,12,2,1,0,0,0,0,0,0,978,25,1,3
40,780,PhD,Partner,1,51650.0,81,152,3,22,2,5,7,1,4,1,4,5,0,0,0,0,0,0,0,191,10,0,4
28,781,Master,Partner,1,16248.0,77,12,11,10,3,12,9,3,2,1,3,6,0,0,0,0,0,0,0,57,9,0,1
70,1005,Master,Partner,0,66835.0,21,620,26,195,34,17,141,1,6,4,13,2,0,0,0,0,0,0,0,1033,24,0,3
32,889,Master,Partner,1,30477.0,16,47,1,6,0,0,12,1,1,1,3,6,0,0,0,0,0,0,0,66,6,0,1
55,745,Basic,Partner,0,28249.0,80,1,9,7,2,14,10,1,2,0,3,6,0,0,0,0,0,0,0,43,6,0,4
33,1302,Graduate,Partner,1,25271.0,45,10,1,18,10,4,7,1,1,1,2,9,0,0,0,0,0,0,0,50,5,0,1
46,844,PhD,Alone,1,32303.0,63,35,0,2,0,0,2,2,1,0,4,5,0,0,0,0,0,0,0,39,7,0,4
50,1062,Graduate,Partner,1,61286.0,34,356,0,107,19,9,117,2,7,1,8,5,0,0,0,0,0,0,0,608,18,0,3
40,1198,Graduate,Partner,0,74068.0,14,783,30,537,140,76,15,1,4,10,9,2,0,0,0,0,0,0,0,1581,24,0,2
52,1222,PhD,Partner,2,45759.0,13,42,1,18,3,0,4,2,2,0,3,7,0,0,0,0,0,0,0,68,7,0,4
38,1389,Basic,Partner,1,24882.0,52,1,4,10,29,0,36,1,1,1,2,6,0,0,1,0,0,0,0,80,5,1,1
27,1139,PhD,Partner,0,66973.0,98,466,22,432,147,113,102,1,8,7,12,3,0,0,0,0,0,0,0,1282,28,0,2
28,1126,Graduate,Partner,1,38872.0,93,23,3,21,3,19,22,2,3,0,3,8,0,0,0,0,0,0,0,91,8,0,1
43,1227,Graduate,Partner,2,51148.0,38,235,6,45,8,9,12,4,5,1,6,6,0,0,0,0,0,0,0,315,16,0,1
39,913,Graduate,Partner,2,31353.0,24,10,0,10,3,1,7,2,1,1,2,8,0,0,0,0,0,0,0,31,6,0,4
36,778,Master,Partner,0,69661.0,80,656,16,106,32,16,8,1,7,3,12,3,0,0,0,0,0,0,0,834,23,0,3
62,1014,Graduate,Partner,0,80067.0,82,519,17,813,27,173,51,1,4,6,6,2,0,0,0,0,1,0,0,1600,17,1,2
62,1259,Graduate,Partner,0,86718.0,20,344,189,482,50,33,172,1,5,6,5,2,0,0,0,0,0,0,0,1270,17,0,2
43,821,PhD,Alone,2,46854.0,81,96,1,79,7,1,79,6,5,1,3,8,0,0,1,0,0,0,1,263,15,1,4
64,731,Graduate,Alone,1,69142.0,50,448,4,34,6,4,39,3,8,1,7,5,0,0,0,1,0,0,0,535,19,1,4
48,933,Graduate,Alone,0,75922.0,60,265,138,553,224,23,92,1,4,4,9,1,0,0,0,0,0,0,0,1295,18,0,2
38,989,Graduate,Alone,1,63693.0,63,587,43,337,42,87,54,3,11,6,9,6,0,0,0,0,0,0,0,1150,29,0,2
51,1078,PhD,Alone,2,40637.0,72,22,0,13,0,0,3,2,1,0,3,7,0,0,0,0,0,0,0,38,6,0,4
32,1327,Master,Alone,0,18890.0,5,6,4,1,7,2,15,1,0,1,2,6,0,0,1,0,0,0,1,35,4,1,1
28,934,Graduate,Partner,1,29604.0,88,7,6,13,7,6,14,1,1,0,3,9,0,0,1,0,0,0,0,53,5,1,1
53,1143,Master,Alone,2,48721.0,50,81,18,113,47,13,21,6,4,2,5,6,0,0,0,0,0,0,0,293,17,0,4
50,752,Graduate,Partner,1,44794.0,99,54,0,7,0,0,4,1,2,0,3,6,0,0,0,0,0,0,0,65,6,0,4
